frame,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle
0,154.86405323988717,65.1647936838493,157.97842952268758,174.63867153689876,85.75747948456973,107.18807968403567
1,156.79505178830115,59.92825845711756,161.45478577914938,165.98958216110555,85.76640622470224,108.39538365525493
2,152.21999053468056,63.800688964101454,162.4332228773667,165.86972977837223,88.88565060811469,106.92661403273826
3,149.40468275623783,72.22369161427783,164.26775209673409,163.81372791732187,83.02483953139343,101.68761403656357
4,156.01098064514588,90.00419782421847,171.81632062815953,156.63155464422903,73.43724804469845,103.40140378970526
5,158.90439391256947,106.30916885475142,175.04335721778227,152.49280223836448,63.74039691162168,104.61785631240296
6,159.9013770185404,114.79410968026072,178.42608766677324,149.34213770007284,54.49853647688928,83.61017245521091
7,163.028656346996,126.55456860649764,179.07662023090592,147.5997843762248,51.345355450176015,35.70779805815574
8,169.3358955028606,138.12766656588127,174.88283582325394,149.36888683668698,49.04040530101527,76.52509712781388
9,171.9707567843922,148.0793162511237,171.8097083892182,151.96687912705107,44.24212904352608,80.06943252709937
10,169.52710157018635,156.99559375820502,169.7042953814945,154.4955554120765,42.457594574739666,85.3642348625724
11,166.73562373766845,164.01976808081247,165.17964019436783,154.62177244396315,45.06910098015304,94.37627835498735
12,175.33308061397918,158.3418242643835,156.3526387922289,163.85429677928187,46.09470616313437,95.2527727377659
13,175.93478519103377,142.31548873762983,157.28509215749332,166.16554113330156,54.78451676807887,99.43433784114649
14,172.9193259776846,121.83625433323758,157.47632828005436,169.9727607699948,56.42436640256719,98.95127722824941
15,104.83994946017471,171.91536370554968,173.66736031674697,160.05222166140075,66.24542045722889,109.04528835992882
16,84.7431309074876,162.80635211444843,175.0530452471116,158.18964287672765,85.08829417819558,89.35436643472607
17,76.32860897523814,158.057587305149,177.2042479576944,157.2395366645399,91.3458368220893,86.69387717785463
18,68.60793635858109,158.44682088633292,178.27384747178812,161.02077848250505,102.40480781147049,112.93980236135087
19,66.38821304210265,157.65289956807172,171.06171980849552,164.1660128204641,104.01502539125333,120.70991358687225
20,69.90668025427306,152.24738080230594,166.1954961655061,164.27772626025964,105.39229917313992,120.6998052639011
21,73.97815672888065,154.31339222652835,162.48226537308312,169.17965253659943,107.84821455977138,117.3326990965933
22,83.41943001112753,163.0034486546219,157.8693551561817,175.93078977094376,102.24236546687933,110.06748635012583
23,119.65386909515756,156.60473457447225,157.74375574693522,174.82100848258375,102.56807153850151,129.63342910239172
24,119.7030683143056,165.9226405156229,152.07108831836211,178.15886585045527,96.72844791948211,119.91485234324813
25,126.82044422250698,169.77350412928982,149.48172429005078,173.77225129237067,95.48224176490217,92.5388368022345
26,136.00336692281593,171.0999990498797,150.550881448027,170.7995522423297,94.43905743774448,75.74936755103651
27,147.1454723911294,171.05319776008378,153.60436341799874,167.88133224163974,91.38893004608664,68.51083357527789
28,157.56112598801272,166.36430392270478,156.71813941565662,166.7270938706376,90.1283520630097,70.5135848253609
29,163.57686390275398,156.43954648048387,157.70344396402876,167.8585413062053,90.62506063415269,73.08786848522143
30,169.73308935195766,140.69183775356083,160.0475902901586,170.01138163374128,90.85596796813283,71.0155371824071
31,171.39488478113051,123.84827250372298,160.2608343038517,171.50786172317152,94.83061774058369,76.31684076194954
32,168.61289987723822,107.16872531821548,159.638249276338,171.30317530045218,91.94837195137667,88.81894485209556
33,164.75044788132143,86.92368196565751,159.05496648433393,175.96374117806454,90.90693507387824,96.53410383633253
34,164.27885408603055,76.99208633569204,159.52440955798315,178.8912617259795,91.14094179446253,97.07367178306612
35,154.72692444811815,67.55009143489875,157.8507737872694,172.55404666413176,87.27371307911916,97.98979590050693
36,151.06365174566633,127.5583074015548,160.8136539521394,164.40428118480943,84.82874670942788,101.3337934513984
37,150.39101048800768,98.0688041301857,162.4241213637906,166.4798147580404,88.13958544672306,93.31118283546377
38,151.15576568181237,87.77251908383826,166.16041519706823,161.697462120252,83.95663712701123,113.93024219256908
39,158.48082893635495,95.00372159201615,173.19352074859037,156.43716105984626,77.74398859060325,175.23469356328116
40,159.41006843791487,105.98213564921413,175.7503990658549,154.1622273427185,77.88302459375282,88.79298821816235
41,161.92142323066483,119.89994530809808,178.94053288744172,153.07753773845386,63.03788131575032,32.64467382883187
42,169.91579937560786,131.53723106903746,175.0138209933457,153.26914785863187,55.26454579450969,80.11114710792137
43,170.01511249269606,140.52316167566332,171.8775950501871,152.0630108731364,51.724190210127354,115.48659587848772
44,170.88050893903412,150.62661519970428,169.57475606659253,154.04380340549713,47.621176693020296,102.11886481052423
45,166.32466292518538,159.42612081354486,168.45930084591583,155.77721080029286,45.87402478247834,117.21843007505989
46,157.70084628980223,164.47116224832646,167.34977794029888,154.72245056925104,46.44927856388016,107.34400742500664
47,147.94668301300334,170.44042980819634,167.61864528239747,157.46299762155022,49.113402483558865,104.96606569404284
48,132.30490918820863,171.47796666248527,169.93174464225825,157.93875020286976,52.35471833418883,98.85132459901175
49,115.67469913957405,168.63443787021356,171.04889926704686,157.67295642242058,63.225705485571225,86.70058460920507
50,94.7613929408982,165.68363747945062,172.53907996130042,157.58278547680771,81.09860029272458,89.26616799735505
51,80.8160907401416,164.19463878124776,177.6922423751176,156.25698642764047,87.58105856502738,86.74886279956164
52,69.34980234647959,156.37152866587866,178.62901449356133,156.35406031052568,86.6645508168713,111.4807573609177
53,69.00702550865525,156.12648191562755,173.41321964306246,160.62377763797926,97.78625954520845,131.9224695782089
54,68.57359335029537,153.80882340760388,167.33534134760984,162.9315641704466,102.5631916136357,127.68741599129231
55,71.43852107940559,155.1670373492543,164.74965026833345,166.1515371620244,101.00515128831523,128.7579359975001
56,85.78833660586136,157.31203334359606,162.31283784843285,168.85330786889196,101.46134560360146,106.35552903141603
57,110.73546758682039,163.861789527497,157.38185058348478,174.62109325090552,98.68949779947224,98.37054798120306
58,116.86207555985365,163.58850213181452,154.21098249481136,178.15557391623935,99.47189772492032,81.75121088475255
59,164.6226761673561,116.19301830870293,176.52718732410668,152.15813469935674,102.29250941018212,68.98488726658591
60,138.63283965253058,166.51409901954628,154.04962870359236,174.70638814813125,96.26610368828659,60.46525646214236
61,168.16287854059817,151.5393035363768,168.33078117347057,157.03635338377342,91.48296669719326,60.49120566138726
62,158.85465593877004,164.77981309680382,158.77949273762889,169.5708049203821,95.81195324383695,61.10392511801467
63,164.50811383673695,156.77209184040544,159.19963497993356,169.3690068845146,94.41806544437165,62.85335542933024
64,171.4422778988447,146.74522343240486,161.80688147703188,168.5255682400278,94.1796164203309,69.76165758184224
65,171.19153387035382,133.99612799853756,161.32601359609836,169.4726700403868,92.72768185619064,73.31957674181132
66,169.56464187228562,116.48603974861425,160.96103990873894,171.39857324763997,88.1748835419847,75.07003931564583
67,164.38891409175875,98.54332319927688,160.08945077158137,172.93724320595553,87.39514234461156,89.06825728658863
68,161.1536331302317,83.13251822262451,160.4304792380635,175.39237848903733,88.420603584452,93.01439818172874
69,155.75349238360943,74.09440458909764,160.17804085379123,179.30851888086238,86.20287316816082,99.96108916469636
70,70.22588304316884,163.4002147935533,168.53495512034877,166.69069800773846,88.13292567579816,104.4890633980626
71,115.00496546048781,147.54355288994046,166.6079104021363,167.02580258202056,86.55587964838132,138.3327123224288
72,150.1463345757241,83.14455916313162,166.22949999340761,163.4583928155405,86.15646787725076,119.2211155461375
73,155.45165883932506,88.35034322352493,171.43403613507067,161.95145501055163,91.21289917588177,111.02643499632924
74,158.54558952892492,95.39748037648761,176.90964829585045,154.92851057519061,78.62950872863766,140.3930244015999
75,160.8769132114473,105.80334257124048,178.90705830198556,149.91847270242562,61.66835816487139,109.7648371718116
76,164.0784039044154,121.10521411452578,178.06434478761804,147.27449164504552,49.998779477510176,90.61863218210456
77,169.31306542500892,131.23007043333965,173.62981322323304,146.70466642054984,46.33225595483941,92.26797890932235
78,172.27048237052196,144.07255260004865,170.86975119358405,150.65440609074514,48.209694909057696,73.78280768381042
79,171.6614206867117,153.3021090484126,168.40138519619353,152.23529801746602,52.20266157506528,74.96775279377316
80,164.52418718599134,159.10527533901302,167.82577023323012,151.77670662627912,51.68128376369255,91.36829278352741
81,154.25584636230445,163.72110055153948,167.10028578183432,150.59476605218495,53.251830136012856,104.88294253599466
82,139.67041857903152,168.76163139134107,168.7195199705309,153.9608681121616,54.18392478700697,106.80842690829022
83,126.57039549319828,169.0846450467217,171.3359359190864,154.56179967895318,69.48036702370946,94.56776315558754
84,104.74966018030385,165.58850483498864,172.63167712677352,154.40395108692465,73.17869355196089,94.88133061421499
85,84.82025804165734,164.05356743406102,173.468112639615,154.55055559296682,94.70888944109689,142.38554980454433
86,74.77704570744193,157.25387404559015,178.00148272051499,152.5614636860918,100.20081538796454,162.9022928768387
87,67.56764424379732,156.69655682928968,176.83011228753247,157.10873766697537,106.65684350552029,165.17207741968883
88,62.446216587176636,160.98753509512414,172.48448941521926,164.27936458013255,112.24426345259619,154.5050390141202
89,152.75316918338459,140.30170384952,165.73524587975996,164.52272148890904,109.66524595726418,142.7791366702949
90,94.80172680558414,151.00043968134375,163.4541765360587,165.9425821054386,104.87739321361677,125.69828635008565
91,96.05475132333295,157.938857881532,160.93657682620565,171.21347782670642,109.73284479701898,106.47182284441664
92,103.30529711151017,160.57043065919302,153.87730273715852,174.94792671350717,106.16376791892819,74.10471356829107
93,157.97873363153937,123.97704068771633,178.26951032578597,153.44950830121496,102.8214284753625,67.77236755194981
94,172.43429991618606,161.25437532640794,176.38278937124932,168.94888982777385,96.00291724362144,62.8185681793092
95,173.56554480879626,144.02212684963746,167.85473668362053,151.35195258217382,95.91295695574313,65.68883685256031
96,172.95897684014255,149.80833171270098,165.135222967774,152.50971010118943,95.41815082553524,73.51435550067474
97,159.46864435507732,163.8912629445672,156.4285578719725,169.59738741879698,92.85574993556315,72.31218500037522
98,163.37802901489417,155.65887797207915,155.77842109909002,168.7325293899723,93.3534960464315,68.35622723118598
99,171.119753134925,143.15199043864686,158.84643271091326,170.7346114190335,93.61382094661413,68.45802828980457
100,173.51687729440843,130.81733594635836,160.761220800408,171.5354753465475,94.68144340372304,65.87154938724319
101,170.17609988367522,117.03784187064711,160.26467994979106,173.1164298838618,90.58348469007295,76.62078294373651
102,165.80762689576775,104.6929949948442,159.91703655363037,174.58104404331496,88.80657436038615,89.10659647406041
103,161.2569940540175,93.93460499631036,159.70696350831903,175.85158349091915,85.33035872949425,107.86933225435487
104,161.91174883241368,82.07216456961973,160.48118255247584,178.68476384763903,82.43978240781708,101.96120373063258
105,154.24290637450025,76.58901756536176,161.23793024458905,173.04975410260212,84.70612466024518,103.42524728112681
106,153.17569746257814,73.0612556182002,164.4177312072378,167.03129984378452,84.80842562894904,101.36773867024814
107,153.04090725817926,74.85875590518035,165.97651089858311,164.14640433824627,95.36841551661836,112.77074337514146
108,157.2040749336191,82.54982280852118,169.94694123440553,159.63543559683723,85.83946555281787,107.55649971886889
109,159.82267600560849,103.40309632900004,173.54889296045238,153.8288885745765,66.11412346114652,103.83624116158848
110,159.29356369122928,112.88486611504118,177.68588734780658,149.47406251234744,52.74089335391341,100.2046064114229
111,163.44163067614193,124.02740767567232,178.6536142751343,148.63015218907827,51.94895943447847,99.12126779932353
112,169.3920865308872,132.03887340621876,174.7168956501422,149.17682981799598,50.80053027251553,91.28512001485312
113,170.56959857317395,146.25227009787312,173.03489859750593,152.92709368658942,50.82172735850919,96.25983384714462
114,169.15953805954263,153.56747523641226,171.03128798865106,153.98367391954994,48.297686035522254,96.44623576553988
115,163.7632776973762,162.31684505251195,169.44229404032538,155.75670169777916,45.605624176584335,95.3487605684672
116,156.80035789476338,167.75574805895107,167.1865358383538,156.94053722972757,49.76497704433383,94.26238157271698
117,144.61750337723015,171.5720116490592,168.66474247113268,159.8363884680583,51.52483695674254,93.12538697735077
118,127.38505281868052,170.97769307033116,170.26762735774625,158.87839873937014,55.581165566470844,95.95910433918232
119,108.96712118560983,167.2347883310229,172.09261962274383,157.59473493052846,60.05927425830947,94.78491853523502
120,161.57865915603,96.38397000864869,154.5992120821155,173.79176057874267,72.04625948573226,78.93749403596654
121,76.04775641995396,155.43352209521797,169.36124375278538,159.53384104266354,88.78538675351274,94.60724058807021
122,66.65359396274565,152.04843199766125,174.00666400932928,156.86617084236718,87.38153323068018,99.38168958659284
123,69.40536938474855,151.22039063826773,169.24672724706016,159.27804352284647,101.19787342305271,119.50246856795367
124,69.46108930839353,150.15225070567516,165.75921918484065,161.37163770351987,100.31687460261551,121.56019786481465
125,74.75819866098578,155.16081085070476,161.40818218698814,168.6402724703533,100.51970526717807,123.74850256752288
126,85.39112329070933,158.1682073531422,160.30228960738256,173.34177719694256,103.383428304942,107.27591806176997
127,136.31760416904928,156.96431472843616,166.23217815777622,174.9843235756702,103.02990841698367,90.65593563878868
128,158.19669871686966,122.19636206882343,178.9764941564631,156.43025304619525,99.40873270679849,80.17697735266259
129,161.57318983867103,123.84365180033294,176.1583720538695,150.38786329643878,98.18144177142197,71.91783099969558
130,162.2228003683888,163.1328389929645,178.94101772712168,163.21441185251666,91.1072269106833,66.53848410035033
131,146.94524607913348,170.7160148112811,154.34101740970706,170.0184104341774,85.64074523899254,70.2784044027507
132,166.9522707434131,160.67088727719732,165.06122926140623,155.93592448729478,92.4446414014071,113.05077320790714
133,160.5940306949451,172.6987928060753,163.0840516239103,158.32229486528772,95.13998874533917,78.26606634026581
134,173.67121982127298,150.93968018478938,163.0131552926432,168.339109825736,95.72644807751179,88.22370290247086
135,172.828348688974,138.60236525756727,162.3371103176486,168.8667083000087,96.60087177343598,84.51473633925586
136,170.52705645738698,120.02636456084745,162.00403753889935,170.92405094884603,94.52550260561,87.38202519452201
137,166.36323851221366,102.48530970772254,161.86707692607277,174.08887241517402,91.48572155119804,82.81113364559327
